table,row,column,value
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_precision,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_precision,5902Group5,0.79
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_precision,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_recall,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_recall,5902Group5,0.47
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",context_recall,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",faithfulness,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",faithfulness,5902Group5,0.74
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",faithfulness,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",answer_relevancy,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",answer_relevancy,5902Group5,0.83
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Overall",answer_relevancy,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_precision,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_precision,5902Group5,0.79
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_precision,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_recall,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_recall,5902Group5,0.47
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",context_recall,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",faithfulness,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",faithfulness,5902Group5,0.74
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",faithfulness,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",answer_relevancy,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",answer_relevancy,5902Group5,0.83
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Cases Only",answer_relevancy,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_course_hit_rate,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_course_hit_rate,5902Group5,1.00
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_course_hit_rate,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_verified_source_rate,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_verified_source_rate,5902Group5,1.00
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_verified_source_rate,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_keyword_coverage,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_keyword_coverage,5902Group5,0.64
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_keyword_coverage,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_answer,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_answer,5902Group5,0.47
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_answer,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_context,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_context,5902Group5,0.20
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_fact_coverage_context,Delta,—
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_expected_lecture_hit_rate,GenMentor,N/A
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_expected_lecture_hit_rate,5902Group5,0.67
"1. RAG Quality (RAGAS, 0–1 scale, Product Mode) > Metadata Diagnostics",metadata_expected_lecture_hit_rate,Delta,—
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",completeness,GenMentor,3.62
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",completeness,5902Group5,4.12
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",completeness,Delta,+0.50
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",gap_calibration,GenMentor,4.75
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",gap_calibration,5902Group5,4.88
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",gap_calibration,Delta,+0.13
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",goal_refinement_quality,GenMentor,3.50
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",goal_refinement_quality,5902Group5,4.00
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",goal_refinement_quality,Delta,+0.50
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",confidence_validity,GenMentor,4.62
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",confidence_validity,5902Group5,4.75
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",confidence_validity,Delta,+0.13
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",expert_calibration *(enhanced only)*,GenMentor,N/A
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",expert_calibration *(enhanced only)*,5902Group5,5.00
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",expert_calibration *(enhanced only)*,Delta,—
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",solo_level_accuracy *(enhanced only)*,GenMentor,N/A
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",solo_level_accuracy *(enhanced only)*,5902Group5,4.75
"2. Skill Gap Quality (LLM-Judge, 1–5 scale)",solo_level_accuracy *(enhanced only)*,Delta,—
"2. Skill Gap Quality (LLM-Judge, 1–5 scale) > Skill-Gap Mini Ablation (Baseline vs Forced Refine vs Enhanced)",completeness,GenMentor,3.62
"2. Skill Gap Quality (LLM-Judge, 1–5 scale) > Skill-Gap Mini Ablation (Baseline vs Forced Refine vs Enhanced)",completeness,GenMentor (Forced Refine),4.62
